,acd05,acd04,acd01,acd02,acd06,acd03
backstay,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
badder,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
badgered,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
baits,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
baize,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
balances,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
banged,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
banjo,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
banker,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
bankment,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bankrupt,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
banns,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
barlow,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
barque,1e-10,1e-10,1e-10,1e-10,14.0,1e-10
barter,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
based,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bass,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
battled,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
baumser,1e-10,1e-10,1e-10,1e-10,81.0,1e-10
baxter,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
beachy,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
beamed,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
beaming,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
beaune,1e-10,1e-10,1e-10,1e-10,3.0,1.0
bedad,1e-10,1e-10,1e-10,1e-10,18.0,1e-10
bedstead,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bedsworth,1e-10,1e-10,1e-10,1e-10,31.0,1e-10
bedtime,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
beery,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
beetles,1e-10,1e-10,1e-10,1e-10,2.0,1.0
begad,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
begotten,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
behaves,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
behavin,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
behaviour,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
behoof,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bein,1e-10,1e-10,1e-10,1e-10,1.0,1.0
belay,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
belinda,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
belonging,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bemoaned,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
benares,1e-10,1e-10,1e-10,1e-10,1.0,1.0
bene,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
benignantly,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bepathed,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bequeathed,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
berserk,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
berth,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
beseeching,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
beseechingly,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
besieging,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bestowing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bether,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
betrays,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
betther,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
betting,1e-10,1e-10,1e-10,1e-10,5.0,1e-10
bewahre,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bibulous,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bigger,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bilin,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bilious,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
billiards,1e-10,1e-10,1e-10,1e-10,9.0,1e-10
billow,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
billows,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
billy,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
binches,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
binnacle,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bison,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blacken,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blackest,1e-10,1e-10,1e-10,1e-10,1.0,1.0
blackgaird,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
blackmail,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blackwall,1e-10,1e-10,1e-10,1e-10,2.0,1.0
blair,1e-10,1e-10,1e-10,1e-10,1.0,2.0
blankly,1e-10,1e-10,1e-10,1e-10,2.0,1.0
blasphemy,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
ble,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blindfold,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blockading,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blokes,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bloodhounds,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bloodshot,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
blowed,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
blowpipe,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bludgeon,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
bluejacket,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
bluer,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bluewater,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
blunders,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bly,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bo,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bobtail,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
bohemianism,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bohemians,1e-10,1e-10,1e-10,1e-10,5.0,1e-10
boilers,1e-10,1e-10,1e-10,1e-10,1.0,1.0
boisterously,1e-10,1e-10,1e-10,1e-10,3.0,1.0
boldness,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bolster,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bolted,1e-10,1e-10,1e-10,1e-10,1.0,1.0
bona,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bonfire,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bonny,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
booby,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
booking,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bootjack,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
borrow,1e-10,1e-10,1e-10,1e-10,5.0,1.0
borrowings,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
boss,1e-10,1e-10,1e-10,1e-10,7.0,1e-10
botch,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bottled,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bottlenose,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bottletop,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bottomed,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bounced,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
boundary,1e-10,1e-10,1e-10,1e-10,5.0,1.0
bouquet,1e-10,1e-10,1e-10,1e-10,1.0,1.0
bowled,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
boxers,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
boxing,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
boyishness,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
branching,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
brandishing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
brats,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
breasted,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
breasts,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
brewster,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
briars,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
brides,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
brighton,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
briton,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
broadside,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
brogue,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bromide,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
broodings,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bruiser,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
brusque,1e-10,1e-10,1e-10,1e-10,3.0,1.0
brussian,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
brutes,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bubble,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
bucklebury,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bucolic,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
budding,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buffalo,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buffeted,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buffs,1e-10,1e-10,1e-10,1e-10,2.0,1.0
buggy,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buller,1e-10,1e-10,1e-10,1e-10,5.0,1e-10
bulow,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
bumpkins,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buoy,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
burger,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
burt,1e-10,1e-10,1e-10,1e-10,74.0,1e-10
bus,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buses,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
bust,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
butted,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
butter,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
buttered,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
butther,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
butting,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
buttoned,1e-10,1e-10,1e-10,1e-10,3.0,2.0
buttoning,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
buying,1e-10,1e-10,1e-10,1e-10,5.0,1e-10
cabs,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cackled,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cackling,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cacodyl,1e-10,1e-10,1e-10,1e-10,5.0,1e-10
cacophonous,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cadaverous,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cafe,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
calabar,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
calculate,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
calculating,1e-10,1e-10,1e-10,1e-10,1.0,1.0
calleth,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
callin,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
callous,1e-10,1e-10,1e-10,1e-10,1.0,1.0
calton,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
calvinistic,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cam,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
campaigner,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
campaigning,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
campbell,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
canaster,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
candid,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
candidates,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
candidly,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
candour,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
canna,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cannoned,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
canny,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
canton,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
capacious,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
capetown,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
capitalist,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
capitalists,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
capricious,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
captivating,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
carat,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carats,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
carbon,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carefulness,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
caress,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
caresses,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cargoes,1e-10,1e-10,1e-10,1e-10,3.0,1.0
carker,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carlo,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carmoichael,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carpetless,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carte,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
carthridge,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cartilaginous,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cartoons,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cash,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
cashier,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
castanets,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
catherine,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
caucasus,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cautions,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cavity,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cawood,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cayenne,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
celenterata,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cent,1e-10,1e-10,1e-10,1e-10,8.0,1.0
centres,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
certie,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
certificate,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
certificated,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cess,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
chandelier,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chapels,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chaperoned,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chaps,1e-10,1e-10,1e-10,1e-10,3.0,2.0
characterized,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
charging,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
charioteer,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
charley,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
charlie,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
charms,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
charums,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
chastens,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chat,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cheerfulness,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cheerier,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cheerlessly,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chemists,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cheque,1e-10,1e-10,1e-10,1e-10,13.0,1e-10
chequered,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cheques,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cheroot,1e-10,1e-10,1e-10,1e-10,1.0,1.0
childer,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chimborazo,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
china,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
chinese,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chingo,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chintz,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chipping,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cholera,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chon,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chopping,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
christians,1e-10,1e-10,1e-10,1e-10,1.0,1.0
christmas,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chronic,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chronicles,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chronometer,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chuck,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
chucked,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chummy,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
chums,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cint,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cintral,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
circulated,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
circulation,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
circumstantial,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cityward,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
civility,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
civilization,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
civilizing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clamouring,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clane,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clara,1e-10,1e-10,1e-10,1e-10,5.0,1e-10
claret,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
classed,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
classic,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
clause,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clawed,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
claxton,1e-10,1e-10,1e-10,1e-10,11.0,1e-10
clearest,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clearin,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clears,1e-10,1e-10,1e-10,1e-10,1.0,1.0
clipper,1e-10,1e-10,1e-10,1e-10,1.0,2.0
clippers,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
clongowes,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
clubs,1e-10,1e-10,1e-10,1e-10,4.0,1.0
clumsily,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
clutterbuck,1e-10,1e-10,1e-10,1e-10,49.0,1e-10
clutterbucks,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coalesced,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coals,1e-10,1e-10,1e-10,1e-10,3.0,3.0
coarsely,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coastguardsman,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coasting,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cobra,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cochineal,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cockchafers,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cockles,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cockroaches,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
codicil,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coelum,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coffin,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
cogitated,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
cogitations,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
coign,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
coined,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
colchester,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
coldest,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
coles,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
colin,1e-10,1e-10,1e-10,1e-10,1.0,1.0
collared,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
collaring,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
collars,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
colleagues,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
collectedly,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
collects,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
collie,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
collier,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
collision,1e-10,1e-10,1e-10,1e-10,3.0,1.0
collisions,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
colossal,1e-10,1e-10,1e-10,1e-10,1.0,1.0
combine,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
combrink,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
comfortably,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
comforter,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
comforting,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
commandment,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
commendable,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
commerce,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
commercial,1e-10,1e-10,1e-10,1e-10,25.0,1e-10
commincement,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
commissariat,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
committee,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
committing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
commodity,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
commonest,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
communicating,1e-10,1e-10,1e-10,1e-10,1.0,1.0
communities,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
commuted,1e-10,1e-10,1e-10,1e-10,1.0,1.0
compact,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
compass,1e-10,1e-10,1e-10,1e-10,1.0,1.0
compassion,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
compatriot,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
compete,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
complainin,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
complement,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
complexioned,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
comporting,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
composite,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
compound,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
comprehensive,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
compress,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
computation,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
computing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conceals,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conciliatory,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
concise,1e-10,1e-10,1e-10,1e-10,1.0,1.0
concisely,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conclave,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conclude,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
condensed,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conduc,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conduced,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
confederates,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conferred,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
confidential,1e-10,1e-10,1e-10,1e-10,5.0,1.0
confidentially,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
confinement,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
confirming,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
confirms,1e-10,1e-10,1e-10,1e-10,1.0,2.0
conflicting,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
confounded,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
confreres,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
congregation,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
connexion,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
connived,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
connives,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
connoisseurs,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
consecutive,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conservative,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
considerate,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
consistency,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
consols,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
consorted,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
consorting,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conspirators,1e-10,1e-10,1e-10,1e-10,3.0,1e-10
conspired,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
constitutionally,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
consumption,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
contemplate,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contemplated,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contemplating,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contemplation,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
continuity,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
continuously,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
contraband,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contract,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
contraction,1e-10,1e-10,1e-10,1e-10,1.0,1.0
contradicted,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
contradictin,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contradiction,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contrariness,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contrasting,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contributed,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contributing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contributions,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
contrive,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
convalescing,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
convanience,1e-10,1e-10,1e-10,1e-10,2.0,1e-10
convened,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
convenience,1e-10,1e-10,1e-10,1e-10,4.0,1e-10
converged,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
convexity,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conveyance,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
conveys,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
convicted,1e-10,1e-10,1e-10,1e-10,1.0,1e-10
