,filenames,binids
410,tc0191§0003,0
411,tc0174§0029,3
412,tc0179§0019,2
413,tc0176§0026,2
414,tc0154§0036,4
415,tc0180§0021,2
416,tc0153§0034,3
417,tc0179§0016,1
418,tc0132§0041,4
419,tc0130§0018,1
420,tc0176§0027,3
421,tc0160§0036,3
422,tc0147§0034,4
423,tc0188§0038,3
424,tc0153§0027,3
425,tc0188§0040,4
426,tc0153§0040,4
427,tc0180§0019,2
428,tc0143§0002,0
429,tc0176§0039,4
430,tc0139§0039,4
431,tc0164§0025,2
432,tc0146§0041,4
433,tc0174§0013,1
434,tc0155§0030,3
435,tc0174§0012,1
436,tc0131§0025,3
437,tc0191§0020,2
438,tc0188§0007,0
439,tc0178§0004,0
440,tc0188§0025,2
441,tc0134§0040,4
442,tc0131§0004,0
443,tc0139§0010,1
444,tc0139§0026,3
445,tc0155§0015,1
446,tc0146§0019,2
447,tc0167§0019,2
448,tc0136§0005,0
449,tc0160§0016,1
450,tc0168§0042,4
451,tc0162§0004,0
452,tc0174§0016,1
453,tc0154§0009,1
454,tc0154§0040,4
455,tc0187§0018,1
456,tc0134§0037,4
457,tc0162§0011,1
458,tc0130§0011,1
459,tc0162§0008,0
460,tc0174§0005,0
461,tc0168§0015,1
462,tc0148§0014,1
463,tc0160§0044,4
464,tc0179§0037,4
465,tc0179§0040,4
466,tc0180§0006,0
467,tc0162§0024,2
468,tc0176§0016,1
469,tc0153§0017,1
470,tc0179§0041,4
471,tc0132§0014,1
472,tc0152§0033,3
473,tc0187§0003,0
474,tc0146§0008,0
475,tc0131§0003,0
476,tc0168§0032,3
477,tc0189§0031,3
478,tc0148§0021,2
479,tc0153§0002,0
480,tc0178§0041,4
481,tc0147§0041,4
482,tc0160§0010,0
483,tc0174§0037,4
484,tc0167§0028,3
485,tc0188§0009,0
486,tc0153§0025,2
487,tc0191§0036,3
488,tc0153§0019,2
489,tc0155§0019,2
490,tc0136§0028,3
491,tc0131§0036,4
492,tc0164§0044,4
493,tc0136§0001,0
494,tc0147§0008,0
495,tc0130§0040,4
496,tc0155§0022,2
497,tc0153§0026,2
498,tc0174§0028,3
499,tc0131§0034,4
500,tc0164§0026,2
501,tc0139§0037,4
502,tc0187§0040,4
503,tc0136§0033,3
504,tc0162§0019,2
505,tc0179§0001,0
506,tc0130§0031,3
507,tc0164§0030,3
508,tc0136§0022,2
509,tc0155§0033,3
510,tc0131§0009,1
511,tc0147§0030,3
512,tc0167§0021,2
513,tc0134§0030,3
514,tc0191§0043,4
515,tc0174§0034,4
516,tc0153§0022,2
517,tc0180§0015,1
518,tc0134§0016,1
519,tc0152§0010,1
520,tc0168§0002,0
521,tc0176§0015,1
522,tc0187§0019,1
523,tc0153§0001,0
524,tc0154§0010,1
525,tc0191§0019,2
526,tc0146§0031,3
527,tc0147§0001,0
528,tc0153§0016,1
529,tc0146§0014,1
530,tc0168§0033,3
531,tc0179§0029,3
532,tc0130§0043,4
533,tc0143§0024,2
534,tc0168§0027,3
535,tc0178§0033,3
536,tc0168§0036,4
537,tc0155§0004,0
538,tc0136§0024,2
539,tc0130§0004,0
540,tc0174§0010,1
541,tc0167§0012,1
542,tc0180§0042,4
543,tc0147§0019,2
544,tc0134§0033,4
545,tc0187§0037,3
546,tc0152§0025,2
547,tc0188§0022,2
548,tc0130§0022,2
549,tc0155§0037,4
550,tc0178§0017,1
551,tc0150§0010,1
552,tc0150§0025,2
553,tc0150§0041,4
554,tc0153§0015,1
555,tc0179§0017,1
556,tc0167§0015,1
557,tc0178§0032,3
558,tc0154§0004,0
559,tc0150§0023,2
560,tc0162§0038,4
561,tc0130§0045,4
562,tc0131§0006,0
563,tc0191§0026,2
564,tc0168§0009,0
565,tc0188§0021,2
566,tc0154§0032,3
567,tc0178§0011,1
568,tc0187§0015,1
569,tc0178§0019,2
570,tc0132§0012,1
571,tc0152§0002,0
572,tc0178§0040,4
573,tc0154§0030,3
574,tc0155§0040,4
575,tc0162§0022,2
576,tc0187§0010,0
577,tc0164§0034,3
578,tc0179§0026,2
579,tc0150§0033,3
580,tc0130§0013,1
581,tc0160§0017,1
582,tc0154§0011,1
583,tc0167§0037,4
584,tc0154§0017,2
585,tc0154§0018,2
586,tc0152§0013,1
587,tc0130§0027,2
588,tc0180§0018,1
589,tc0136§0041,4
590,tc0158§0030,3
591,tc0167§0022,2
592,tc0162§0001,0
593,tc0146§0022,2
594,tc0176§0002,0
595,tc0155§0016,1
596,tc0132§0038,4
597,tc0189§0007,0
598,tc0158§0007,0
599,tc0164§0022,2
600,tc0152§0012,1
601,tc0131§0002,0
602,tc0153§0041,4
603,tc0158§0017,1
604,tc0139§0011,1
605,tc0188§0045,4
606,tc0147§0010,1
607,tc0153§0021,2
608,tc0155§0020,2
609,tc0179§0004,0
610,tc0143§0017,2
611,tc0180§0023,2
612,tc0132§0010,1
613,tc0134§0021,2
614,tc0132§0003,0
615,tc0139§0022,2
616,tc0189§0046,4
617,tc0176§0004,0
618,tc0189§0020,2
